budget,id,original_language,original_title,popularity,release_date,revenue,runtime,vote_average,vote_count
237000000,19995,en,Avatar,150.437577,10/12/2009,2787965087,162,7.2,11800
300000000,285,en,Pirates of the Caribbean: At World's End,139.082615,19/05/2007,961000000,169,6.9,4500
245000000,206647,en,Spectre,107.376788,26/10/2015,880674609,148,6.3,4466
250000000,49026,en,The Dark Knight Rises,112.31295,16/07/2012,1084939099,165,7.6,9106
260000000,49529,en,John Carter,43.926995,07/03/2012,284139100,132,6.1,2124
258000000,559,en,Spider-Man 3,115.699814,01/05/2007,890871626,139,5.9,3576
260000000,38757,en,Tangled,48.681969,24/11/2010,591794936,100,7.4,3330
280000000,99861,en,Avengers: Age of Ultron,134.279229,22/04/2015,1405403694,141,7.3,6767
250000000,767,en,Harry Potter and the Half-Blood Prince,98.885637,07/07/2009,933959197,153,7.4,5293
250000000,209112,en,Batman v Superman: Dawn of Justice,155.790452,23/03/2016,873260194,151,5.7,7004
270000000,1452,en,Superman Returns,57.925623,28/06/2006,391081192,154,5.4,1400
200000000,10764,en,Quantum of Solace,107.928811,30/10/2008,586090727,106,6.1,2965
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,20/06/2006,1065659812,151,7,5246
255000000,57201,en,The Lone Ranger,49.046956,03/07/2013,89289910,149,5.9,2311
225000000,49521,en,Man of Steel,99.398009,12/06/2013,662845518,143,6.5,6359
225000000,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,15/05/2008,419651413,150,6.3,1630
220000000,24428,en,The Avengers,144.448633,25/04/2012,1519557910,143,7.4,11776
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,14/05/2011,1045713802,136,6.4,4948
225000000,41154,en,Men in Black 3,52.035179,23/05/2012,624026776,106,6.2,4160
250000000,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,10/12/2014,956019788,144,7.1,4760
215000000,1930,en,The Amazing Spider-Man,89.866276,27/06/2012,752215857,136,6.5,6586
200000000,20662,en,Robin Hood,37.668301,12/05/2010,310669540,140,6.2,1398
250000000,57158,en,The Hobbit: The Desolation of Smaug,94.370564,11/12/2013,958400000,161,7.6,4524
180000000,2268,en,The Golden Compass,42.990906,04/12/2007,372234864,113,5.8,1303
207000000,254,en,King Kong,61.22601,14/12/2005,550000000,187,6.6,2337
200000000,597,en,Titanic,100.025899,18/11/1997,1845034188,194,7.5,7562
250000000,271110,en,Captain America: Civil War,198.372395,27/04/2016,1153304495,147,7.1,7241
209000000,44833,en,Battleship,64.928382,11/04/2012,303025485,131,5.5,2114
150000000,135397,en,Jurassic World,418.708552,09/06/2015,1513528810,124,6.5,8662
200000000,37724,en,Skyfall,93.004993,25/10/2012,1108561013,143,6.9,7604
200000000,558,en,Spider-Man 2,35.149586,25/06/2004,783766341,127,6.7,4321
200000000,68721,en,Iron Man 3,77.68208,18/04/2013,1215439994,130,6.8,8806
200000000,12155,en,Alice in Wonderland,78.530105,03/03/2010,1025491110,108,6.4,4645
210000000,36668,en,X-Men: The Last Stand,3.857526,24/05/2006,459359555,104,6.3,3525
200000000,62211,en,Monsters University,89.186492,20/06/2013,743559607,104,7,3528
150000000,8373,en,Transformers: Revenge of the Fallen,21.939663,19/06/2009,836297228,150,6,3138
210000000,91314,en,Transformers: Age of Extinction,116.840296,25/06/2014,1091405097,165,5.8,3095
200000000,68728,en,Oz: The Great and Powerful,46.985445,07/03/2013,491868548,130,5.7,3530
200000000,102382,en,The Amazing Spider-Man 2,89.270217,16/04/2014,705717432,142,6.5,4179
170000000,20526,en,TRON: Legacy,73.79505,10/12/2010,400062763,125,6.3,2841
200000000,49013,en,Cars 2,49.98659,11/06/2011,559852396,106,5.8,2033
200000000,44912,en,Green Lantern,51.872839,16/06/2011,219851172,114,5.1,2487
200000000,10193,en,Toy Story 3,59.995418,16/06/2010,1066969703,103,7.6,4597
200000000,534,en,Terminator Salvation,71.862892,20/05/2009,371353001,115,5.9,2463
190000000,168259,en,Furious 7,102.322217,01/04/2015,1506249360,137,7.3,4176
200000000,72190,en,World War Z,81.834855,20/06/2013,531865000,116,6.7,5560
250000000,127585,en,X-Men: Days of Future Past,118.078691,15/05/2014,747862775,131,7.5,6032
190000000,54138,en,Star Trek Into Darkness,78.291018,05/05/2013,467365246,132,7.4,4418
195000000,81005,en,Jack the Giant Slayer,43.349855,27/02/2013,197687603,114,5.5,2598
105000000,64682,en,The Great Gatsby,61.196071,10/05/2013,351040419,143,7.3,3769
150000000,9543,en,Prince of Persia: The Sands of Time,62.169881,19/05/2010,335154643,116,6.2,2317
180000000,68726,en,Pacific Rim,56.523205,11/07/2013,407602906,131,6.7,4794
195000000,38356,en,Transformers: Dark of the Moon,28.529607,28/06/2011,1123746996,154,6.1,3299
185000000,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,21/05/2008,786636033,122,5.7,2495
175000000,105864,en,The Good Dinosaur,51.692953,14/11/2015,331926147,93,6.6,1736
185000000,62177,en,Brave,125.114374,21/06/2012,538983207,93,6.7,4641
185000000,188927,en,Star Trek Beyond,65.352913,07/07/2016,343471816,122,6.6,2568
180000000,10681,en,WALL·E,66.390712,22/06/2008,521311860,98,7.8,6296
140000000,5174,en,Rush Hour 3,22.57178,08/08/2007,258022233,91,6.1,783
200000000,14161,en,2012,45.274225,10/10/2009,769653595,158,5.6,4903
200000000,17979,en,A Christmas Carol,39.744242,04/11/2009,325233863,96,6.6,1095
176000003,76757,en,Jupiter Ascending,85.36908,04/02/2015,183987723,124,5.2,2768
180000000,258489,en,The Legend of Tarzan,42.741719,29/06/2016,356743061,109,5.5,2430
180000000,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,07/12/2005,748806957,143,6.7,2629
178000000,246655,en,X-Men: Apocalypse,139.272042,18/05/2016,543934787,144,6.4,4721
185000000,155,en,The Dark Knight,187.322927,16/07/2008,1004558444,152,8.2,12002
